# Example driving data for testing
# This file demonstrates the expected format for driving telemetry

timestamp,speed,acceleration,braking_intensity,steering_angle,jerk,score
2024-01-01T12:00:00,60.5,0.5,0.0,5.2,0.1,8.5
2024-01-01T12:00:01,62.3,0.8,0.0,4.8,0.2,8.3
2024-01-01T12:00:02,64.1,0.9,0.0,3.5,0.1,8.4
2024-01-01T12:00:03,65.5,0.7,0.0,2.1,0.0,8.6
2024-01-01T12:00:04,66.2,0.4,0.0,1.5,0.1,8.8
2024-01-01T12:00:05,66.8,0.3,0.0,0.8,0.0,8.9
2024-01-01T12:00:06,67.0,0.1,0.0,0.2,0.0,9.0
2024-01-01T12:00:07,67.1,0.1,0.0,-0.1,0.0,9.1
2024-01-01T12:00:08,90.5,3.2,0.0,15.3,2.1,5.2
2024-01-01T12:00:09,95.8,2.8,0.0,18.7,1.8,4.8
2024-01-01T12:00:10,98.2,1.5,0.0,22.1,1.2,4.5
2024-01-01T12:00:11,85.3,0.0,0.8,25.5,0.5,3.9
2024-01-01T12:00:12,72.1,-2.5,0.9,-10.2,-1.5,3.2
